analysis_num,max_singular_values,AA,AB,BB
3,0,0.18492656751,0.0929481245595,0.13153784329
3,10,0.879378859467,0.468249702171,0.726791657965
3,20,0.809029779208,0.420311887713,0.665047205509
3,30,0.7377194008,0.367457078941,0.600037260307
3,40,0.653547907302,0.329305048642,0.546254937392
3,50,0.589752410158,0.302395142241,0.517169914084
3,60,0.543114599189,0.282811776581,0.491017589629
3,70,0.49429859111,0.261451121839,0.464112614398
3,80,0.462033596561,0.241545786359,0.425866645521
3,90,0.427156399152,0.222567560979,0.390009411674
3,100,0.398443609413,0.208974619966,0.366221176466
3,110,0.375794756307,0.196353015439,0.341433142084
3,120,0.356545991534,0.183235983203,0.31232261253
3,130,0.338256338241,0.17183589533,0.288406502753
3,140,0.321198394117,0.161381201102,0.265316175767
3,150,0.294925762992,0.150127227157,0.248022546404
3,160,0.282906000355,0.141127606328,0.226856392168
3,170,0.270486695254,0.132915644035,0.207556161989
3,180,0.258725159078,0.124558227029,0.187174934764
3,190,0.248346153796,0.116068348207,0.165816559596
3,200,0.230944665138,0.109129219419,0.153965537143
3,210,0.21107686168,0.103415690165,0.147006251867
3,220,0.199333511667,0.0983429725746,0.139687204807
3,230,0.18814697941,0.094384729993,0.134452140922
